GeneSymbol combined_pval
SCN5A 1.07038270819956e-06
IFITM10 2.61497267446258e-06
NOL3 4.43132741229282e-10
LY6G5C 4.41720677468194e-06
PTX3 9.53905643064299e-08
SMIM3 6.7375221330949e-07
TNFAIP8L3 5.00006137996935e-08
PYCR1 6.95106061063902e-11
RUFY4 9.09207226565177e-05
PLK4 1.92086500341583e-08
ERICH3 4.49628777916544e-06
MYO15A 2.89262269544584e-07
FRMD3 8.1050724394564e-08
TK1 2.06484308284106e-10
MAGIX 1.20953723169223e-06
CETP 3.36722919681696e-08
VEPH1 7.13595731323251e-06
PCSK9 1.80023920846011e-07
AANAT 5.35953842116158e-07
CACNA1E 4.64135438946986e-07
SPC24 1.06626580580788e-10
RSAD2 5.71646011703412e-05
REC8 8.41719712224497e-07
C1orf226 2.916401198226e-09
MERTK 1.18891499931966e-06
ISG15 0.00024602061406739
SH3RF3 7.98425672675304e-06
HESX1 1.70372427066885e-05
GAS6 1.78419141817245e-08
NUPR1 2.49020188293407e-06
CDC20 1.38757115298565e-10
TYMS 1.0140062254341e-09
MITF 5.87166657953663e-07
CNGA4 1.68390001661068e-07
HPN 1.14452154834389e-07
SERINC2 1.70174907997578e-06
NT5DC2 6.2963434556028e-09
OAS3 3.02566745542983e-05
TJP1 2.29989621666196e-06
CYP19A1 3.34172038501696e-09
IGFBP2 7.47404525031928e-06
DOCK1 1.59624334622385e-07
SH3PXD2B 1.04415245664686e-06
ACRBP 1.63543702586759e-06
CDCA8 1.34296929132915e-09
PCP4L1 7.87331079154357e-08
RAD51 1.15618052538119e-09
SCD 4.76547678271887e-07
BCL2L14 6.70406789184672e-05
INSL3 5.57221158103971e-09
DCC 6.7421205597995e-08
FAM72B 3.41680425335438e-09
MYOM1 7.07010611843361e-06
ZNF396 4.21333791835255e-05
PIEZO2 2.77293898622579e-06
OPRL1 1.20705619124009e-09
TMEM158 7.38021635600424e-06
RGS16 3.44040297719543e-08
TROAP 9.75486526549903e-10
SLC12A8 7.71999306433761e-07
HERC6 7.69258216778758e-05
LGALS3BP 6.67019607047238e-05
PRTN3 3.70078036366031e-06
IRAK2 9.76663393166778e-07
ERG 2.02412710224857e-06
NRN1 1.74275719165077e-07
RPH3A 5.09194824302304e-07
FOSL1 3.78609076400509e-09
FSTL3 2.10117631564355e-06
CCNA1 3.70620529242471e-07
TNNT3 3.66147841621098e-07
DNAH17 3.9473982210827e-07
EDNRB 2.64574574742106e-05
FSTL4 4.51648699423108e-06
IL10 2.5363668893695e-09
CCL8 0.000229335483089496
FAM174B 3.87963316862605e-05
CHIT1 6.65940544496879e-06
MAB21L3 4.83957766412058e-07
BHLHA15 1.08804242823535e-08
SCN9A 1.20098780401003e-06
CATIP 1.93506083186123e-05
RHOBTB1 2.42268488828409e-07
DZIP1L 1.20969610902454e-05
SPAG4 1.74660730454627e-09
TRIM6 5.16850548987492e-06
MED12L 9.11674537470037e-07
CPE 1.89379089038431e-07
NECAB1 8.59803380831642e-06
FBXO16 4.1714601058814e-07
NFKBIA 5.069483174521e-06
SOCS1 9.93583478803383e-05
EMP2 5.40853153598271e-06
ELOVL3 4.21180493268696e-08
SLC28A3 2.23678880874827e-05
SH3TC2 1.0241636489918e-07
LDLR 4.76547678271887e-07
LGSN 2.05269900629034e-05
PIM3 1.37660911319959e-07
ESPL1 7.99093620730971e-11
GPR17 1.91233182824941e-06
EPAS1 3.45605723564107e-07
EXOC3L2 0.000212863281213684
CENPA 1.78989953073508e-09
TSHR 3.9287240515363e-07
MAOB 4.10718230549983e-08
TMEM150B 4.88616426592703e-06
RAPGEF3 1.9960737291201e-05
CDC25C 5.27855549768898e-09
BAMBI 1.39088486408711e-08
ANXA8L1 0.00025657607883664
DAAM2 1.40863273779841e-05
CMTM5 1.61419449950712e-07
KLF14 3.67353917323521e-06
SYN2 3.63924290661717e-06
PF4 0.000165623761799453
RIN1 6.31232572792624e-05
FABP2 3.28046245483361e-06
WASF1 2.75656105359988e-08
SUCNR1 2.03260836455245e-07
KL 1.62976897881623e-06
SPRED2 1.05641899555544e-06
COL1A2 2.80896638965762e-05
PKHD1L1 8.83362132516237e-08
CCNE1 3.09305912546588e-07
DDR2 3.67550059127578e-06
INHBA 9.7596876227522e-06
EGFL7 2.5182408532423e-07
CFAP58 0.00024602061406739
CNGB1 3.12815987333454e-06
PLCB4 5.59396282860385e-05
CHST13 0.00054527591996102
MCM2 2.41205733316646e-08
RAB19 1.59683258752832e-06
BTN1A1 4.50445347672704e-05
UBQLNL 0.00017975952711573
ANO2 6.04893914938713e-07
KIF2C 1.11586090367766e-09
C2 1.53647498062496e-05
ADARB2 0.000231919386835252
SLC7A11 1.41755283935699e-08
SDF2L1 5.03745067116012e-07
SLC51A 8.57653701088301e-06
FMOD 0.00135987034965925
TRPM4 1.57571459971073e-05
EXOC3L1 3.86577890768414e-05
SOCS3 1.00935593842305e-07
ILDR2 3.36541390724467e-05
SLC6A12 0.000221199894160624
KAZN 9.82991583714991e-05
SLC2A5 5.03560738438358e-07
FAM124A 2.16209671047966e-07
LONRF3 3.0699996375772e-06
NHLH1 7.55835903104872e-06
TMIGD3 3.42111651910522e-05
HES4 0.000224315245495237
ESAM 2.45385729102152e-07
TG 1.73495459127914e-07
SLC5A9 7.19629663167052e-05
ANKRD45 2.30131787864574e-05
GRB10 8.98608610386438e-07
COL7A1 1.69746424963188e-07
GPT2 3.16916861102132e-07
PDE2A 1.4588133904939e-06
FAP 3.79500053287631e-06
TNFSF15 0.000541393915657545
PTH2R 0.000109260986671882
BPI 4.8707926911406e-05
NWD1 5.66260118108384e-06
CLEC5A 1.52693829810259e-06
KCNK7 3.70078036366031e-06
RBP4 2.15003970318375e-05
NOXRED1 1.17589540969728e-05
TCF23 6.17599821788525e-05
PAQR6 3.34188808954816e-06
ANKRD34B 1.79753006584993e-05
RGL1 0.000113732552550786
MPO 7.37917920676591e-06
GSG1L 8.60714729934758e-06
SRCIN1 0.000165578265569053
GLDC 1.91941339708509e-07
CTSA 3.63291590144144e-08
RAD54L 1.03097491328399e-10
CYB5R2 2.57931689372479e-05
CAV2 9.20813518935806e-07
E2F1 4.07920499037637e-09
PTCRA 8.72999434610213e-06
STAB2 3.01393209562657e-06
PYGM 1.80007971167808e-05
CDKN1A 1.47164546332457e-07
RASGRF1 0.00117782151079382
CLU 1.08785768837549e-08
VSIG10 0.000113579247653495
POC1A 9.27568384821975e-09
LIF 0.00103659099047662
CLEC18A 0.000249261497371041
ALPK3 1.72494967998513e-06
CDT1 1.1528460079042e-09
RAPGEF5 3.28046245483361e-06
ITGAD 0.000156412097321321
MAPK10 0.000151041779856285
SEMA3B 2.53311167604619e-08
PLAU 1.09536976335167e-05
TMEM132D 1.86645824494531e-06
SLC4A9 5.61333151593812e-05
DCAF4L1 0.000132597406553319
KCTD14 9.16254029279974e-06
NFASC 3.54624406675875e-05
RAB42 6.34300230996564e-06
PCOLCE2 1.16437575827189e-05
TRIM71 3.79371544334838e-06
RSPH9 1.11725743774994e-06
TACC2 0.000152800776787891
CHPF 1.64615501182149e-07
LY6G6C 6.01823739608024e-08
PHLDA3 5.39010512093595e-07
ATP9A 7.21652918139394e-07
TRPV4 0.000196845004712828
STRIP2 1.60366876424776e-06
SERPINB2 0.000499485277720267
ALDH1L2 3.73077796462681e-09
CENPM 1.37082304016872e-08
SLCO4A1 1.08922929599329e-08
IGF2BP1 0.00027644668139238
AGRN 0.000118330115461748
ALOX15B 5.61831619033476e-05
NES 5.99318356927376e-08
WFDC1 8.92677379606298e-06
EMP1 8.37406714416153e-05
PTPRU 0.000141876277961114
HTRA3 0.000141040475193319
VEGFC 2.08757791647233e-06
AOC1 1.83024456513195e-05
PIR 8.65719140425116e-07
EFCAB12 8.16283932237959e-06
ADGRL2 0.000212543298381926
PTPN3 0.000141248464589221
APBB2 4.51402988062611e-05
SLC22A14 1.24875243741939e-05
KPTN 5.26196478597796e-06
FAM209B 1.41092075107818e-05
SPAG6 0.000338291346735332
PXT1 0.000362919613114898
MMP19 1.34552254417487e-05
PHGDH 3.23911881834593e-06
ORC6 4.42636581442111e-09
MET 1.34197644686099e-07
MYLK3 1.76482815063079e-05
CDCA7 0.000327628265981643
TMEM54 0.000153561107261888
ICAM5 1.0008109834466e-05
GCM1 0.000779649881184801
MYL9 4.67000842943313e-06
SAMD14 1.70542784947799e-05
TP73 2.35252299506127e-07
PTPRH 0.00082584338576461
GPRIN1 1.03116571216062e-07
FGD5 4.04877952124897e-05
CCDC150 2.59202379839891e-07
CSRNP1 3.69892686420553e-06
FIGN 1.73406141506292e-05
RAD51AP1 3.19839062617656e-07
UNC13C 0.000361602342148854
GJA4 3.88532549576437e-05
ACOX2 4.52718218842554e-06
PTGR1 2.79617180291851e-06
SYNPO2 0.000744311510494531
SAMD15 3.95944772241869e-07
AOC4P 0.000124475401789168
CDH6 2.40733395690626e-05
FLT1 1.44575253882842e-06
CHST8 2.40620798932598e-05
FFAR3 1.54213488678059e-05
IER3 0.000187419857019565
TFF3 0.000329656486591309
PRELP 3.43432179998624e-05
GOLGA6L22 5.04750280044576e-05
GADD45G 6.63553747525725e-06
LAMC1 3.18715958557353e-07
FABP5 1.00369394677589e-05
GBP6 0.000547617488401884
SERPINE1 1.64712850779265e-06
MAOA 0.000141505354078501
SATB2 7.7052457912695e-07
TRAIP 2.5236116799057e-05
ACCSL 0.000391780278513797
GCKR 1.16515303105044e-05
TACSTD2 6.17550889795225e-05
AQP10 9.13966419388746e-05
ACVRL1 2.19365889641882e-06
CSF1 0.00082983098121032
PHACTR3 3.56270699241986e-05
CARD14 3.01393209562657e-06
TRHDE 1.78412188161511e-05
JPH4 0.000139085916510401
STAB1 2.85957988771357e-06
MEIS1 0.000317920472478004
DYTN 0.0004712864515077
CXCL11 0.00221302943551599
CXCL2 0.00812959497014373
DACH1 3.0447847032693e-05
NEK2 1.08058488377722e-08
NCMAP 0.000418893673089212
SERPINB10 0.000189636114988795
JUP 0.00344945955132549
NEURL3 0.000275255273973466
CTRC 5.28397180780838e-05
TMEM255A 0.00231982454272055
TRPV5 7.72929513708058e-06
EML1 0.000238533297484241
AXL 0.00308760394689282
FGF2 0.000268392242671897
WNT5A 0.0031945507319627
DSCC1 5.21663305079822e-06
UCHL1 7.16058481377274e-07
LAMB3 9.73715431808234e-06
KIFC3 3.36019962343964e-06
AZU1 0.000198449330996453
CNR1 0.00372094233553791
PLOD2 1.57148129969801e-05
ADAMTS3 5.34290725738628e-05
PRRG1 0.00114157730614795
GABRR2 6.42707740259102e-06
COL9A3 0.000164118269662451
DOCK6 0.000179106934266206
FGFR4 8.91077597196283e-06
PRKG1 0.00443627106897097
DEFB1 8.13523031594703e-05
CGN 2.04110101344242e-06
LEP 4.77456137087901e-05
PDGFA 4.32308593026685e-05
CDH7 1.41009017804137e-05
SHROOM4 2.70672823457772e-06
ITM2C 1.08212248281089e-05
FAM111B 1.98927362710599e-06
FAM107A 0.000317934418754473
FSTL1 8.31194137377086e-05
WNT5B 1.78830799907943e-06
STMND1 9.71434962151127e-05
A3GALT2 0.000487016820778064
CRYM 0.000301910942867758
SLC2A14 0.000102743838495022
ELANE 0.000184336061291314
TBC1D8B 1.86895337452485e-05
MGLL 4.18072874831994e-06
LOXHD1 3.67035244890322e-06
IFI27L1 1.9152370302075e-07
XKR3 0.000837114891276996
DOC2B 0.000163562122821784
OLR1 0.00122555171054383
SCN2B 2.24016644519594e-05
PSG6 0.000444399838038495
CABLES1 5.16850548987492e-06
ITGB4 2.29082426303778e-05
C1QA 0.00369266443019858
TEK 0.00729016766390015
CPNE4 0.000865703851217535
LANCL3 3.57410910815341e-05
ROR1 0.00800451980165677
VSIG10L 1.49179539196255e-05
TBXA2R 0.000115624855998086
PNMA2 0.00316073351242292
ANKRD35 0.00114445997110192
DGKI 6.29956103516052e-05
DNAH2 0.000459154961847721
CEACAM6 0.00101464111671169
INHBB 4.11920504804582e-05
SCUBE1 1.43972778865289e-05
HS3ST3A1 0.00469799386619663
HSD17B2 0.000236033455489371
ABCC11 0.000439094729740201
BEST3 0.0011230884965172
COL24A1 4.76751933971054e-06
INTU 6.68183057777642e-05
EPB41L4B 7.95739709931738e-05
NAV3 5.84975647149725e-06
CBS 0.00757716322100088
EGF 1.16235649356575e-06
ADGB 0.00171803079027329
ADCY6 0.000522773640169388
RAB3B 0.000453731297336467
GCNT3 0.000148825208745183
TMEM38A 4.26144658346565e-07
DERL3 3.16040918656853e-06
SLCO2B1 5.2296964966402e-06
MAP2 2.04221220487054e-05
KLHDC8A 0.000800421294553348
DRC7 0.000320484877665105
EYA2 0.000594349269596043
CHAC1 4.01542880707657e-05
STOX2 0.000241486812760481
WNT11 7.12948400826293e-06
STEAP2 0.00115146115181534
FAM110B 0.000599384919447387
NNMT 9.78700853619145e-05
KLHL14 0.0006092486681352
ATCAY 0.000178819213739903
PKD2L1 0.00180308451023052
ASPA 0.000173541788263128
ADCY3 7.99126508828329e-05
HSD3B7 8.17863155720701e-06
TARM1 9.01546535064725e-06
PIGR 0.0016155179111095
TMEM17 0.000184186618541742
OLFML2A 6.518575094999e-05
IGF1 2.00263228229528e-06
MAP3K15 0.00149955471363781
ANXA8 0.000590831834465843
KIAA2012 7.76599096287257e-05
GAS2L1 1.84535308048888e-05
TMEM119 6.02832571298209e-05
DYNC1I1 0.000163988955023389
MYOM3 0.000466309243860844
GP9 0.000240466843845955
HTRA1 0.000854903681604319
ABLIM3 4.95368784081864e-06
SPDYC 0.00209470998478514
CD163L1 0.000503105739606019
COX6B2 7.87123354876566e-05
SPINK8 0.00181976816233974
SAPCD2 2.18064390179121e-06
ARHGAP28 1.98752867687246e-05
ATF3 0.00591925350913332
GPRC5C 0.000913889070542008
FABP4 0.0010884997565202
DNAAF1 0.00139967994488918
XIRP2 2.11389049044256e-06
GPRC5D 7.80196767890688e-06
EDA2R 0.00183267060569946
ARMC12 7.39770497345134e-05
CCL2 0.0118223719884575
DCHS2 0.000396683169008526
XRCC2 2.06432794596018e-06
APOD 0.00310318552997535
ZNF215 1.48654721042455e-05
TREML1 9.22398361554696e-05
ASS1 1.14403204530115e-07
CLDN9 3.10554607242052e-05
SYT1 0.000373489500643046
ARMC3 0.0120625080974562
LAMA4 0.00140790822909913
GALR1 0.000219053341370889
ACBD7 0.000878407559939569
KCNE4 0.00118140839815761
PDE3A 0.000135223642607156
SLC6A20 0.00177727073108537
PCYT1B 2.71338126193366e-05
RYR2 0.00374595000822705
TMEM40 5.54712090791521e-05
SELP 1.0382361694536e-05
LRRC74B 0.000560356354872175
GUCY2D 0.00968094683003322
EMID1 0.0166340047297236
NMNAT2 3.36194237808106e-05
OLFML2B 0.00432408964462589
NR2E1 7.19629663167052e-05
ITIH3 0.000569511046492193
LAMP3 0.00538474133672143
PLXNB3 3.64665643047548e-06
PLCXD3 0.00169378566581332
EME1 2.05659193983032e-07
NPFFR1 0.00180411093081052
CD70 0.000114603117301591
SPACA3 0.0042785680803419
ADM2 1.74924429567377e-05
ITGA8 8.21234798945244e-06
LIPH 0.000154051807919518
CYP4F2 0.00114963747233217
PPP1R14C 0.00516354488821762
COL6A3 0.000847273276374609
KIF6 0.00039155072391347
SYT5 1.83358592379413e-05
ST8SIA5 4.47235044251825e-05
KCNK13 0.00245768792018267
RGL3 0.00848918347128659
GSTM5 0.0070770797428015
SLC22A25 0.00104312845850483
ADRA2A 0.00488007280092014
ZBTB8B 0.000724896331060924
TMEM45A 4.21734299526886e-05
SPARCL1 0.000737620311902587
PRRT4 0.000188633745741393
MMP2 0.000287229854860878
TMEM145 0.000170903956356772
NOTCH3 0.00292564651412389
TEKT1 0.00645798786705351
OPRD1 0.000536892520222712
ITGA9 0.000315891038549453
SLC1A6 0.000466309243860844
MFAP5 0.00249770086443198
CDH5 0.00266116604914791
ABCA6 0.0102816102302666
CCDC158 0.00257148299985011
MIXL1 3.27205053701611e-06
PEAR1 9.01546535064725e-06
CLDN10 0.00419793721870179
TYRO3 0.00577840101782131
LPO 4.95368784081864e-06
GCOM1 0.00424625092262331
PDPN 0.000212649087544009
PHKA1 4.58672556943474e-06
HEPH 0.00032473398975264
XKR4 8.54368517348892e-05
CHMP4C 0.00108455416745356
GNG8 0.00888432490128792
CRISP2 0.010090175435225
PDE6H 0.00652405764585144
A2ML1 0.00147620001000524
PTPRN 0.00877597109350979
KCNJ6 0.00139953996913653
HOXB13 5.57476866803576e-05
CNKSR1 4.94721253501552e-05
FRK 0.000217720547954856
COL23A1 0.000146861559765344
CBLN2 0.00390332087561195
RP1L1 0.00142368949803633
PTCHD1 0.00501512842569996
COL4A1 0.00245340174672406
CTF1 0.00247253150933719
KRT80 0.000103545518634092
PCDHGB5 0.0432945768712188
MIPOL1 1.83358592379413e-05
CNN1 0.00448757457884128
PDLIM3 0.00173169750110986
BVES 9.73715431808234e-06
B4GALNT2 0.00506857261604473
FAM90A1 0.00767742161923135
GJB6 0.0108707198833218
CLGN 0.00233316372927837
TMEM52B 0.000408833691217011
ARHGAP44 0.000482497418312026
MMP1 0.000161021705399604
CNBD1 8.39895106982159e-05
PCSK6 0.000541393915657545
CHRFAM7A 0.0224920771461477
CRX 0.000782946913375615
RNF208 0.000427432436397947
RAB13 2.9244355320262e-05
FA2H 0.000329443894397951
OPRM1 0.00705550435863269
HTN1 0.00160495867020391
KCP 0.00282638855542273
MEIS3 0.00130590428345112
GGT5 0.011508177455271
GLRA3 0.00701267171110618
AMPD1 0.000302934579115324
PAQR5 0.00202472079295334
DDN 3.38183571727554e-05
SEC14L6 0.0103939293910981
EHD2 0.000206855441421256
CEL 0.000985860551469253
PRRG3 0.0123458810551637
C3orf70 0.00104778772025057
RHBDL1 0.00343061569649065
GOLGA8M 0.0141567393988991
ADAMTSL3 0.000508398150084061
IGSF3 0.00345901588899107
RNASE3 0.00610408570818409
HHIPL1 0.0244748383915674
C4orf17 9.98059196374773e-05
CYYR1 0.0194836053397038
EBI3 0.00895213512566789
KRT7 0.0358204535853034
TERT 3.50267498913265e-05
CREB3L1 0.00153408960044015
MAS1 0.00338611166859484
GABRP 0.000896814093399738
SCGB3A2 0.0110863034366033
RCVRN 0.01121609419091
DACT3 0.00102873797600476
TMEM130 0.0193715387728701
HOXA9 0.00833249977349859
IL33 0.0243613950045492
HCAR1 4.7289604252764e-05
TIMP4 0.000261426632253066
PITX1 0.00769299882792962
PRL 0.00335259588686914
LHX1 0.00308961573743591
